,filename,genre,author,title,emotion,bodyPart,bodilyProcess,emotionalAction,termcount
0,quin031spoo02_01.xml,spaans,Philippe Quinault,De spookende minnaar,16.252006420545747,7.423756019261638,4.735152487961477,3.972712680577849,24920
1,lope001joan01_01.xml,spaans,Félix Lope de Vega,Joanna koningin van Napels of Den trotzen dwinger,14.753123140987508,9.220701963117191,6.603212373587151,3.2123735871505055,16810
2,leeu004tove02_01.xml,spaans,Adriaen Bastiaensz Leeuw,De toveres Circe,10.47859372995167,4.319746802959668,3.7637397887173343,3.079423463496001,23381
3,rotr001groo02_01.xml,spaans,Jean Rotrou,Den grooten Bellizarius,13.150261071359505,6.28505124734094,4.3995358731386585,2.9007928833881262,20684
4,lope001bekl02_01.xml,spaans,Félix Lope de Vega,De beklaagelyke dwang,15.599639314697926,6.0414788097385035,4.598737601442742,5.410279531109108,11090
5,lope001gedw04_01.xml,spaans,Félix Lope de Vega,Gedwongen vriendt,12.532656847525653,5.565862708719852,3.596986104274734,5.073643557608572,26411
6,mira010verw02_01.xml,spaans,Antonio Mira de Amescua,Verwarde hof,9.834426047338594,5.8895432825869545,3.667074119346594,3.222580286698522,17998
7,corn001cid_02_01.xml,spaans,P. Corneille,De Cid,13.93168117883456,6.206742576467962,4.286671131949095,4.063407010493414,22395
8,lope001dull01_01.xml,spaans,Félix Lope de Vega,Den dullen ammirael of Stryt om d'eer,15.32930543765916,5.991910920257652,3.8448095071653268,3.6450791431567384,20027
9,vond001jose05_01.xml,vondels_toneel,Joost Vondel,Joseph in Dothan,5.479597808160877,4.202798318880673,2.8727988508804594,2.4471990211203916,18797
10,vond001pala01_01.xml,vondels_toneel,Joost Vondel,Palamedes oft Vermoorde onnooselheyd,5.536448284539888,1.6357688113413305,2.055196711685261,1.3421692811005788,23842
11,vond001luci01_01.xml,vondels_toneel,Joost Vondel,Lucifer,6.066954737898826,3.753655449347475,3.4917725110209066,3.098948103531055,22911
12,vond001hier01_01.xml,vondels_toneel,Joost Vondel,Hierusalem verwoest,7.644529383659818,4.430352256439213,4.169743300178083,3.909134343916953,23023
13,vond001gysb04_01.xml,vondels_toneel,Joost Vondel,Gysbreght van Aemstel,7.263570771391216,2.7117330879860537,2.5180378674156216,1.5011379594208512,20651
14,vond001pasc02_01.xml,vondels_toneel,Joost Vondel,Het Pascha ofte de Verlossinge Israëls uyt Egypten,4.892716986901789,3.567606136282554,2.4463584934508944,1.936700473981958,19621
15,vond001salm02_01.xml,vondels_toneel,Joost Vondel,Salmoneus,6.889468954597972,3.166588215156832,2.567503958235269,3.081004749882323,23369
16,vond001elek01_01.xml,vondels_toneel,Joost Vondel,Elektra,12.164429530201343,6.052253116011506,4.733940556088207,3.9549376797698943,16688
17,vond001maeg04_01.xml,vondels_toneel,Joost Vondel,Maeghden,6.265597621196836,5.947007911644454,4.885042213136515,3.982371369404768,18833
18,cost001rako01_isabella.xml,senecaans_scaligeriaans,Samuel Coster,Isabella,9.797402136808973,4.8765350002216605,4.078556545639935,3.369242363789511,22557
19,bred001gria01_01.xml,senecaans_scaligeriaans,G.A. Bredero,Griane,13.874290519234812,6.761964823768482,5.710882208674936,4.1342582860346155,28542
20,bred001luce01_01.xml,senecaans_scaligeriaans,G.A. Bredero,Lucelle,6.129039344478373,3.295182443267942,2.328595593242679,2.504338656883636,45521
21,bred001rodd01_01.xml,senecaans_scaligeriaans,G.A. Bredero,Rodd'rick ende Alphonsus,15.478442119890378,7.526923225383101,6.4461342494306555,5.635542517466322,25907
22,cost001rako01_ithys.xml,senecaans_scaligeriaans,Samuel Coster,Ithys,13.43344570436204,5.107774032076821,4.29053018694453,2.6560424966799467,19578
23,hoof001achi01_01.xml,senecaans_scaligeriaans,P.C. Hooft,Achilles en Polyxena,12.139374238114586,1.6253555465258025,1.9301097114993904,0.8634701340918326,19688
24,cost001rako01_polyxena.xml,senecaans_scaligeriaans,Samuel Coster,Polyxena,12.433541256750534,5.191108134131536,5.065516808305773,4.93992548248001,23887
25,hoof001thes01_01.xml,senecaans_scaligeriaans,P.C. Hooft,Theseus en Ariadne,11.832171893147503,3.8472706155632985,3.193960511033682,2.032520325203252,13776
26,cost001rako01_iphigenia.xml,senecaans_scaligeriaans,Samuel Coster,Iphigenia,6.338320864505403,2.337905236907731,1.5066500415627597,1.5586034912718205,19248
27,bran002vein02_01.xml,gruwel_en_spektakeltoneel,Geeraardt Brandt de jonge,De veinzende Torquatus,10.191295631108511,6.223373151783476,7.100492857739537,6.390443571965584,23942
28,vos_002mede03_01.xml,gruwel_en_spektakeltoneel,Jan Vos,Medea,12.656140495527064,7.2556375479243105,7.0495114812219155,6.101331574390898,24257
29,zeer001eers01_01.xml,gruwel_en_spektakeltoneel,Pieter Zeerijp,D'eersuchtige wraak & Thiëstes en Anticlia [Alleen D'eersuchtige wraak],12.400533182534232,4.685543482651371,3.3525871470695154,4.120046855434826,24757
30,berg038donj02_01.xml,gruwel_en_spektakeltoneel,Adriaen Bergh,Don Jeronimo maerschalk van Spanjen,14.59660297239915,7.43099787685775,5.307855626326964,4.511677282377919,3768
31,vos_002aran03_01.xml,gruwel_en_spektakeltoneel,Jan Vos,Aran en Titus of wraek en weerwraek,10.449574726609963,6.034831915755366,6.318347509113001,5.6298096395301735,24690
32,meij001verl01_01.xml,gruwel_en_spektakeltoneel,Lodewijk Meyer,Verloofde koninksbruidt,8.525555026615312,2.0340156662483233,2.986108105768815,0.6924308651058121,23107
33,asse001open01_01.xml,gruwel_en_spektakeltoneel,Thomas Asselijn,Op- en ondergang van Mas Anjello of Napelse beroerte,9.200312153448063,3.1626073027477717,4.435864788269602,4.600156076724032,24347
34,bont001bele02_01.xml,gruwel_en_spektakeltoneel,Reinier Bont,Beleg en ontset der stadt Leyden,8.373391223445495,4.031632811288572,2.4034734067297254,2.946193208249341,12898
35,kalb001muli01_01.xml,gruwel_en_spektakeltoneel,Dirk Kalbergen,Muliassus de Turk,20.497338523873836,13.108763009454199,10.884245650274092,8.341940096925399,12587
