turn,text
1,de beklaaglijk dwang een bedryf .
2,"o gy snel vluchten , vertoef een ogenblik ; of menen gy schichtig , benaude Hert , dat ik u volgen gelijk de winnen ? ô neen , het zijn mijn gedacht , die volgen u op 't spoor ; ay willen een weynig wachten , Schou mijn vermoeytheyt aan , gelukkig , die noch te laat , moê en mat , een rustplaats vint ; maar , och ! ik arm rampzalig , door groote min drijven , Kan my aan beek , of bron , of bemen tot rust begeven ; Gy maken , door uw vlucht , een endt van u verdriet , maar ach ! hoe zeer ik vliê , ik ontvliê mijn quelling niet . oaangenaam dou , vermakelijk boomen , doorwrocht met cierlijk lof , en gy , ô waterstroomen , die , door uw helderheyt , schijnen vlieten ' stil te staan , groeyzaam berg , die te hemel reykt , schouwt aan dat bidden ik , mogen het zijn , my doch als een gelukkig , door dienen ik mijn godin beoog , gelijk een drukkig en droef Tantalus , die , als ik haar nau hebben , My wederom ontzinken als een afvallend ' eb . helaas ! henrijk ."
3,"Mevrou , ik zijn niet zeer verwonderen , of schoon dees waterbeek zich van zijn loop afzonderen , en tusschen d'oever , daar hy ruyssen ' vliet , als doden en roereloos blijven staan , ja zelfs de roos zijn root Verdubbelt , als beschaamt uw schoonheyt aan te schouwen . dees uytgehouw steen kunnen het zilvre nat niet houwen . Den zoeten Zephyrus vast met een labb're koelen , op het aangenaam en zoetst , door bladden en telg woelen . de zon met zijn glans het gebomen doen gloejent verven . de bloem , als door schrik de snelheyt , die besterven , en hangen als verslenst , door 't derven van de douwen , die hun Aurora schenken ; vermits gy , waarde vrouw , zijn Flora in het gebloemen , een thetis in de beek , en een Diaan in 't bos , die , om recht uyt te spreeken , Den held're Febus met zijn glans in all's verdoven ; en hem , wanneer het u lusten , van zijn paruyk beroven . ia , die de hooge Goôn kunnen wet en regel geven . en die gebietster zijn van Henrijks ziel , en leven ."
4,"zullen ik gebied die , die ik voor gebieder hiel ? Zoo horen een woort of twee , mijn uytverkoore ziel . dees aaklig ' eenzaamheyt verplichten my u te zeggen veel waarheên , die in my , ô Graaf , verbergen leggen ."
5,"noch veel wort gy verplichten , ô schoone , door mijn trouw , aan u beloven met eden ; maar ik bidden , ô waarde vrouw , slaan op mijn nedrigheyt doch niet uw lief ooog , laten die my gunstig zijn . mevrouw , wie op een hoogen Verheeve steenrots staan , die d'hemel reykt , wie top de god doen beloert , zien niet om laag ; want op Zoo hooog plaats te staan , en nederwaarts te kijken , zullen Argus snel gezicht al deyzen ' doen bezwijken , en duyss'len doen het breyn , door 't schrikkelijk vertoog ' Van nederwaarts te zien , en schelden het nieuwsgier oog . Dies van uw hemel , lief , zijn ik de laag aarde , Zoo veel schelen ons staan na 't lichaam ; maar , ô waarde ! doorluchtigste Princes , de groot proef van min en teyken , waar aan hy te kennen zijn , staan in een ongelijkheyt te gelijken , in zijn hand voeren deze God een schaal , daar hy de hart van de Verliefde , hoeze zijn , gelijken en evenaren ."
6,"indien uw nedrigheyt u ophouden , of bewaren , om met gelijk min my weder te beminnen , Zoo zijn uw min geveynst , door dienen ik in mijn zin , en mijn gedacht , u my waardig hebben gekent . hoe beek gy u dan in , als dat gy minder zijn ? neen Heer , wy zijn gelijk ."
7,"o goddelijk harssen ! die mijn verwelken liefd ' komen met uw dou vervarssen , die my zelf banen de wegh , en maken ons min gelijk ."
8,"Ia wanen van godlijkheyt ; wel aan , laten ons een blijk doen van oprecht min , en ons genegentheden van ons ziel , in een ziel te zamen smeden ."
9,"ik zoeken onwetend ' , och , mijn doden ; ik worden nagespoort van een verslind end ' dier . wat mensch hebben oyt gehoren dat een , die op de jaght het willen zoeken te belagen , zelfs vluchten , en worden gejagen , in plaats van te jagen , als ik , die door Fortuyn , en bitt're tegenspoet , Gedreven heen en weêr , met een ontsteeken moeten mijn doden zoek , en dat in die geen die my kunnen helpen ? doch als een Bazelisk ' mijn leven lamp komen stelpen . door het doodelijk gezicht van haar vergiftig oog . o beul van mijn gemoet ! Tyran , ay zeggen , hoe hoog , om my te plagen , zullen gy in uw wreetheyd steyg'ren ? hoe lang zullen gy dees borst vol vuur , als Etna , weyg'ren verkoeling ? Wrede min , die onbeloont .... maar zacht , daar komen mijn vyandin . wel aan , storten nu uw klacht , en offeren haar uw smart en pijn : laten niet verhoolen . neen , zuchten , kroppen u in ; waar willen gy heene doolen ? zien gy daar henrijk niet , uw vyandt ? dit geboomt My voor een schuylplaats strekken , en ik een spie ."
10,"betomen u ; wat ik zeggen dat zweren ik u , en zullen het ook houwe . zijn ik uw eyg niet ?"
11,"hoe , zijn zy henrijks vrouwe ! o hemel ! wat zijn dit ?"
12,"de blijtschap hebben mijn hart verwonnen . och mevrouw ! mijn ziel door vreugde wart heel optrekken door uw gunst ; ja zoo drijven , dat zy mijn tong , naar eysch , geen oorelof kunnen geven om u te danken voor uw weldaân , als verplichten : doch het geen mijn tong verzwijgen , dat mek u mijn gezicht . maar wie zullen u , Mevrou , doch tot dit Huw'lijk raden ? de Majesteyt schelen veel van Graaf of zijn genaad . ook zijn het zeeker , dat de koning toorn en haat , als zijn bevordering , by ons te wachten staan , Hy zullen in eeuwigheyt ons beyder Trouw niet stem ."
13,"ontsla u van die zorg , willen uw vrezen betemmen ; mijn vader die zijn ouden , en stappen met eene voet al bukken ' in zijn graf , en na zijn doden , wie moeten als eenig erfgenaam dit Koningrijk regeeren ? ik , die zijn dochter zijn : en of ik uw verëeren willen met de naam van Man , en koning , wie doch zouw mijn macht doen deyzen , of verhind'ren ?"
14,"schoone vrouw , ik Beken , het zijn wel waar ; maar hoe zullen ik de stroomen , en het vloejen van de min , met zulk gedult betoomen ? de parssing van de vloet die vrezen ik dat de dijk Vermorzelt en vernielen van mijn gedult , eer 't Rijk Uws vader , door zijn doot , aan u zullen overerven . zijn liefde lopen te post , en zullen geen rust verwerven voor dat ik meê de vloet van Acheron betreê ."
15,"vallen u de tijdt te lang ? verdriet het u alreê ? wel aan , ik zullen uw pijn , zoo het mooglijk zijn , verzachten ; want morgen zullen ik u in mijn vertrek verwachten . waar wachten ik na ? helaas ! het oordeel zijn gevelt . mijn doden , de plaats en uur van sterven zijn bestellen ."
16,de gunst zijn ik niet zijn die gy my komen betoone . ik danken u voor dees eer die gy my doen . ô schoone ! dat ik uw hand kussen . maar ach ! mevrouw .
17,hoe bang staan u 't gezicht . wat zijn het ?
18,"Ay ! morgen , het zijn te lang ."
19,waarom vernoegen g'u niet ?
20,"door dienen ik in mijn hoopen op het yvrig zijn , zoeken ik door smeek af te koopen een naauw geding van liefd ' , het uytstel van mijn pijn ; vermits een oogenblik de hoper schijnen te zijn een jaar ."
21,zoo zeggen gy dat de hoop zullen quelling baren ?
22,"O ja , zo lang men niet de oorsprong van 't bezwaar genieten , zoo zijn de hoop en liefde al even zwaar ."
23,van nu tot morgen zullen uw ' droefheyt eynden .
24,"maar van nu tot morgen , lief , verbranden 't oud troyen . van nu tot morgen zien men 't Roomse Rijk verstroyen haar glans en heerlijkheyt . de persiaansch vloot Verdurf , en zinken te gront in Thetis ruyme schieten . van nu tot morregen worden d'arremste gelukkig ; de rijk wederom zeer jammerlijk en drukkig Beweende zijn elend ' , al waar hy in dees tijden Vervallen waar . mevrouw , die geen die nooyt benijden Van iemant hebben zijn , krijgen al zijn vriend tegen . de trouwen laten zich tot verradery bewegen . van nu tot morregen verliezen Pompejus het hoven ; en Caesar in deez ' tijden wieren van zijn macht beroven . van nu tot morregen verliezen Candaules 't leven , en in die zelfde tijden worden zijn slaaf verheffen tot Koning . in de tijdt van morgen en van dagen zien men de hemel schoon , dan weder door een vlaag Benevelt en bezwalken . her vogel vangen , ontkomen zijn strik . voor 't laatst , Mevrouwe , het verlangen van nu tot morregen baren veeltijts druk en rouw , en afgunst voor de gunst , en ontrouw voor de trouw . van nu tot morgen worden getrouw liefd ' versmeeten , en 't loon daar van gestellen in hand van het vergeeten . ach Dionysia ! indien dat u het verstant niet zinn'loos waar , gewis gy zullen hem haten ; want nu hy uw liefde zien , zoeken hy met listigheid te trachten na uw eer . ach , dat my het luk bekleeden met zulk een gunst , Princes , noch uur , noch dag , noch week , noch manen , noch jaar , noch eeuw zullen my noyt uyt de streek doen dwalen van de plicht ; maar met gedult verwachten 't genot , of schoon het gedult my in de min doen smachten ."
25,"heer Graaf , nu deze nacht wachten ik u in het paley , daar ik u getrouw min beloon na plicht en ey ."
26,"mevrouw , de god zelfs verlaten haar hemel , en kiezen het wout tot lusten ; alwaar het pluymrijk gewemel de half ontzielen weêr tot nieuw vreugt verwekken . Ay , laten ons , wijl dit bos ons tot een tent verstrekken , wie groen behangsel , door vrouw natuur weven . de schaamte schaduwen , tot het wit der min begeven . de minnen-yver woelen en barsten te boezem uyt . ik gaan , en steur't verzoeken het opzet van die guyt . doorluchtigste Princes , het bos-zwijn , dat mijn oogen verloor , zijn dat niet voorby dees plaats vliegen , al schuymen ' , boos en fel ? ik volligen zijn strijken ; 'k vertrouwen dat het zich houden omtrent dees waterbeek ."
27,"Gy zijn het monster zelf , en zwijn dat ons komen storen . Henriko , komen , vertrek . Octavi , dat de hoor Terstont geluyt sla , en vergaâr al 't volk by een ."
28,"daar vliegen mijn doot , gelijk een snel schicht , weêr heen . hoe nu Octavio ! zullen gy dees smaad verdragen ? Henriko moeten van kant , als oorzaak van mijn klagen . ik die het de koning aan . neen , het zijn niet raadzaam , maar het veynzen zijn my best , 't welk veeltijds uyt gevaar 't Verstand helpen hebben , omringen met tegenspoed , en allerleye ramp . het strekken my dan te goed . mijn ziel , wat raat gy my ; zullen ik na lang gedult genieten het geen ik wensch ? ô ja , zeyt zy , gy zullen . maar zeggen my eens waar door , of hoe zullen dit geschieden ? door liefde , die de Goôn kunnen na zijn willen gebied , die zullen behulpzaam zijn in 't geen daar hy na trachten . hoe raken ik aan 't genot der min ? nu deze nacht zullen gy , zeyt mijn ziel , al heymelijk uw lus gaan boeten in de schijn van Henrik , met veel kus . gy bos , berg , en gy veld , die met groen en bloem zijn bezaayen , wie vruchtbaarheyt te voên , en te bevochtigen dees beek , zich gaan verspreyen gelijk een slang ; en gy gehucht en valeyen , en weeldrig pluymgedieren , lachen met een zoet geluyt : lachen vry , ik geven u verlof , mijn groote dwaasheyt uyt ; schoon het u niet eygen zijn , zoo lachen om dees vermetel , die een gekoren Vorst willen stoten uyt de zeetel , Wien Dionysia haar min en Rijk beloven . die kans moeten zijn gewaagt al kosten het ook mijn hooft ."
29,waar laten gy de Princes ? waar zijn zy u ontkomen ?
30,"veel snelder als de winnen hebben zy haar streek nemen , of als een atalant , voorby dees groen laan ."
31,"verzaam al 't volk by een , het zijn tijden na stad te gaan ."
32,"ik zullen de koning last , met ernst en vlijt , volbrengen ."
33,ik rust my op dees steen .
34,"GOôn ! kunnen gy dit gehengen ? daar zijn de koning zelfs , ik gaan en spreken hem aan . zijn majesteyt , zoo het schijnen , zijn moê en mat van gaan ."
35,"met reên , Octavio , door die dat my de jaar , gelijk de zonne loop , ontschieten en ontvaren , en laten d'ouderdom niet dan een schaduw na van pijn en onrust : maar wat jagen u hier ? ik gaan met ongedult en vrees , met toorn en trouwheyt zwanger . wat zijn ' er gaans ? spreken op . O Vorst ! ik kunnen niet lang , door die 't geluk my voegen , dat ik by u alleen komen zijn , het geheym verzwijgen . zeggen , wat reên en oorzaak porren u om my alleen te spreken ? Verradery , die schelms zijn tegen u besteeken . van wie ? en waar van daan ? zijn Majesteyt geven last dat men terstonnen een man vangen nemen , en vast verzeeker deze nacht . wie ? henrijk . wie ? de Grave . wat Graaf ? Henriko , Heer . Octavio ! die braaf en hoogdeurluchte man ? ik twijffelen in het eerst wie dat gy menen . maar ik twijffelen noch op het zeer ' aan zijn gevangenis . maar d'oorzaak van dit vangen ? zullen ik u morgen vroeg verhaal . het verlangen van nu tot morgen prangen mijn hart en ziel . zullen ik de trouwheyt , zonder recht of oorzaak , in een strik verstrikken ? om war reên ? het Geheym moeten zijn verbergen tot aan Auroraas komst ; ook doen de vrees my zorgen , dat , zoo gy het eerder weer , mijn hoop gants vrucht'loos een man alleen moeten hem verzeekeren . gewis uw leven , rijk en Kroon hangen aan dees zaak . voor al zijn , bidden ik zijn Majesteyt hy laten zich dit geval , en nemen een kleyne wijl gedult . voorwaar , het zijn vreemt dat ik niet weeten mogen waar uyt dit oorsprong nemen . en zullen een man alleen de Graaf in hecht'nis zetten ? Octavi , wie zoo koen ? de Vorst gelieft te letten , indien dat Fabio alleen , op u bevel , dat aan Henriko zeyt : dat hy gehoorzaam stellen zich in de handt van de Marquis ; mijn Heer , ik zweere dat hy zulk daat'lijk doen , om zoo met list te weeren de wantrouw , die hy merken dat van zijn handel weten . Henriko , wat zijn dit ? hoe breektg zoo uw eed ? ik keer na 't hof ; en geven mijn dochter dit te kennen . o neen , zulx most niet zijn , dit zullen mijn voorneem schennen . ik bidden zijn Majesteyt dit toch verburgen houden ; want morgen met de zon zoo zullen ik zonder fout u melden , wie dat al aan dit verraat zijn schuldig . wel , ik zullen lijdtzaam dan die tijdt , en ongeduldig , Van beyts verwachten , ô gy gordiaansch knoop ! die dees mijn oud ziel stellen tusschen vrees en hoop . zeggen , weten gy d'oorzaak niet , mijn vrient , waarom het jagen zo schielik zijn staken ? 'k zien de Princessen wagen , en d'and're koetzen ook , al voor een uur , zoo ik menen , na stadt toe keeren . zeggen , weten gy de waarom ?"
36,"neen . ik moey me daar niet meê , en ook zoo zijn het zaak die my niet aan en gaan , noch ook in 't weinig raken . dies zeggen ik , het roeren me niet ."
37,"Grimaldo , vriendt , gewis ik menen gy zijn verlieven , en dat dit d'oorzaak zijn dat gy al d'andre zorg uyt uw denken gaan wannen ."
38,"Voot my , ik wensch de liefd voor eeuwiglijk bannen , Bellardo , ik verlieft ! ô neen , mijn zoet man . het zijn waar , ik zijn verlieft , op glas , op kroes , op kunnen . o woord ! die mijn hart komen uyt mijn boezem steelen . avoes , gaaroes , drinken an , gy kunnen my niet verveelen al quamen gy hondertmaal de daags , ja in een uur : mijn min , op u gevest , zijn vast als een muur . maar horen eens , weten gy niet , gy recht venusjanker , dat liefd ' , daar gy van spreken , de mensch gelijk een kanker al quijnen ' doen vergaan ? hoe menig braaf meyt hebben , door de min geparst , met ongehoorzaamheyt haar vader huys onteren , en hebben alzoo schenden 't Gebod , waar doorze zijn wel striktelijk verbinden aan de gehoorzaamheyt ; en daarom worden de min ons voorgestellen als blind , om dat zy blind'lings , in het geen hun schaad'lijk zijn , met dollen yver loopen . hebben niet de min met list de hart vaak bekruipen van veel huwen ? die , vergeeten hun plicht , Verlooren schamen en eer . nu laatst , in mijn gezicht , zeyden ' een getroude vrouw , doch niet getrouw , al lachen , met wat voor dankbaarheyt zullen my mijn man , die prachende met veel gevley te hoof het guld vlies verzoeken , bedanken , als hy horen hoe dat ik hem gedoekt hebben , met het geen hy wensen ; zo dat hy zich mogen reek'nen voor Aries , of de Stier , twee van de twalef teek'nen . wat dunken u of een vrouw zulk toestaan of betamen ? en daarom worden de min al naakt , en zonder schamen , By d'ouden uytgebeelt . Bellardo , voor het laat zijn dit mijn oordeel , dat de liefde het alderquaatste en het argste voor de mensch op aarden zijn ; voorwaar dat tuygen ons Ilion , het welk in 't tien jaar quam door de min te val . wanneer ik zien de kuuren en streek van de min , kunnen ik my nau bestuuren van lachen , om dat hy zoo vaak zich transformeren . in het barbaars gewest daar willen hy zijn geëert gelijk een renegaad ; itaaljen daar zijn Mejonker een grooten spaanschen Don , een Portugeeschen pronker ; in Spanjen , en in het gezegent Nederlandt , zijn hy Monsieur , il dit luy mesme qu'il est grand ; in Vrankrijk kunnen dees droes zich als een staartman houwen ; in Engelandt een schot ; en om onheyl te brouwen , het Zy in wat hoek of lant , daar zijn straks die Duyvel by , en maken een vonk tot kool . dit zijn d'oorzaak waarom hy met vleugel worden gestelt . hebben ik u nu het leven van dees geveynsde gden niet aardiglijk beschrijven ? Wegh dan met min en liefd ' , het eed'le bacchusnat dat worden van my gelieft en aangebeên : maar wat Mevrouwe de Princes belangen , zy zijn wel waardig dat yder een haar mint ."
39,"niet waar , mijn vriendt ? hoe aardig , wanneer men haar bezien van het hoven tot aan de voet , zijn zy gestelt van leên ? 't welk my gelooven doen dat zy , wanneerze jagen , Diana gaan te boven in schoont ' en raddigheyt . ik wensch haar , willen my geloven , een man gelijk Adoon ; doch niet zo wulps . noyt dagh Bejeegen hem , waar in dat hy oyt wijk magh Voor Alexanders luk , en dat hy rijk geboor voor Midas niet en zwichten ; maar wel in d'ezel oor : en dat zy leven t'zaam tot dat zy 't leven moê door hooge jaar zijn . dit zijn mijn wensch ."
40,"wel hoe Bellardo , zoo de Graaf dees uw wenschen horen , Hy schonk wel een kleet , al zullen hy het laten boren met zulken passement , daar men , als het gelen ons falen , de huysheer onverwacht de huyshuur meê betalen ."
41,maar menen gy dat de Graaf mevrouw Princes zullen trouwen ? wat houden gy van dit werk ?
42,"wat zullen ik ' er af houwen : Hy menen of menen ' et niet , altoos hy staat ' er na ."
43,"dit vryen zijn zoo vremen dat ik het my niet verstaan . het zijn waar , als dat men zeyt , hoogdravend gedacht die zullen eerlijk zijn ; ik en wilze ook niet verachten : maar al te hoog , mijn vriendt , dat zijn lichtvaardigheyt , door dienze met de winnen , gelijk een rook verspreyt , verdwijnen eer men het weten . maar dat de Graaf Mevrouwe Van hart lieven , dat zijn waar , het welk ik zeeker houwe Uyt eenig teek dat ik laatstmaal aan hem zien . maar zijn majesteyt , wanneer het hem goet dunken , mogen An d'een of d'ander prins mevrouw te huw'lijk geven . hoe zullen hy d'ooog , die hem eerst tot liefde drijven , beschuld , dat zijn hart zoo dwaas daad bestont . maar zacht , daar komen hy aan ."
44,"hoe lang zullen gy dit ronden , o moeyelijken dagh , die my verdriet , beschijnen met uw fakkellicht ? apoll ' , ay willen verdwijnen , en wenden ' uw koets na 't West . varen , bidden ik , snellijk voort . denken nu op Daphnes vluchten , of op uw zoon . verhoren My veyl'ge Nacht spoed ' u en willen het aardtrijk dekken ; niet met uw lamp , neen ; maar wiltze overtrek met uw mantel dik benevelen ; want nu ik een held're zon verwachten , die my verheugen , zoo schrikken ik voor uw tintellicht en flikkerende straal ."
45,"zullen uw genade dan de gantsche nacht gaan dwalen ? de jaght hebben uw vermoeyt , mijn Heer , het zijn tijden te gaan ."
46,"het zijn zo ; ik verwerpen dit kleet , en trekken een ander aan . nu tza , Bellardo , voort , ik zullen my gereet gaan maken ."
47,wik gy het zwart kleden ?
48,"willen gy die reden staken ? het zijn na geen tijdt om my te kleeden in het zwart ; o neen , want deze nacht moeten niet alleen het hart , maar ziel en lichaam beyden ' met vreucht gelijk verschijnen voor mijn vergode zon ."
49,"uw vrengde , heer , die pijn en dwingen mijn ziel met u te zijn verblijt ."
50,"mijn bijtschap woelen , en barsten te boezem uyt . gy zijn het waardig dat ik u mijn vreugde deel , ô god ! haar Hoogheyt zijn mijn tong ; de spraak wort my verbieden , ik kunnen niet zoo ik willen ."
51,"wat zijn het dat u ontbreken ? worden uw tong geboeyt , hoe komen dan dat gy spreken ?"
52,"o waarde . weg van hier . hoe ! zullen gy met my gek ? 'k ontdekken mijn vreught aan u ; horen , ik zullen het u vertrekken hoe dat ."
53,"onnodig , heer , wijl het voorzeeker zijn , dat , zoo Mevrou Princes u hebben zien , gewis u vrind'lijk hebben beogen . och , hadtze durven spreeken Gy hebben het jawoort al ."
54,"'k zullen u de harssens breeken , Gy trouwelozen schelm , dat u de donder slaan . Bellardo , tza , komen hier , gy zullen het weeten ; ja , O ja , gy zijn de man die mijn vreugt zullen plaatsen ."
55,"'k geloven mijn heer krijgen lust om wat met ons te kaatsen , Hy bruykt ons voor zijn bal , en drijven ons heen en weêr ."
56,"Bellardo , wat een vreugt ; zien daar mijn vriend , ik zweren gy zullen het weten , horen . nu op de jaght . te zij ."
57,"Grimaldo , wacht kop ."
58,wat zijn ' er ?
59,"wil mijden , ik docht voorwaar dat hy met steenen goijen willen ."
60,"de min hebben my beloven , ô vriend , dat mijn trouw Eerlang ..."
61,"wel nu , varen voort , hoe zijn het hier scheppen ? Hy zwijgen gelijk een muys ."
62,"zacht , zullen hy ook wel slapen ? houden , holla ."
63,wel wat zijn dit ? wat wiltge ?
64,"Ay , varen voort met uw reden , heer , eerlang zijn het lessen woort ."
65,"eerlang quam een gedacht ' mijn voor'g reden breken ; mijn tong die worden eerlang al weêr geboeyt ; het spreken zijn my door vrezen verboôn , en mijn verlieft gemoet dat spreken my aan , en zey , zien voor u wat gy doen , bedenken u wel te deeg . daarom , ô snood fiel , wijken van my , wijken te zy , of ik zullen u vernielen , en geven u het loon 't welk gy aan my verdienen ."
66,"hij hebben ' et niet heel vast , je milt u zin , vrient . dat gelden de god weêr , kijken dat gezicht eens spalken ."
67,"Diaan willen straks de lucht benev'len en bezwalken , dekken 't zilver tintellicht ; want d'ooog van mevrouw Verduyst'ren uw glans ; gaan kleden u in de rouw om uw endymion . wie komen daar ?"
68,het zijn klenarde .
69,"ik brengen uw goed máár , mijn Heer ."
70,wat zullen het werde ; wat zijn ' er gaans ? spreken op .
71,"zijn Majesteyt begeren , dat gy voort by hem komen , die straks te hove keren , Hy wachten u ."
72,"My , waarom ? Klenardo , zeggen , wat reden ?"
73,Hy zullen u lichtelijk met eenig ampt bekleden .
74,"mijn dienaar wapent u , op dat gy deze nacht My , op de plaats bestemmen , te rechter tijden verwachten ."
75,uw last zullen zijn volbrocht .
76,"wel aan , ik gaan te hove . o hemel ! willen my doch niet van mijn vreucht berove . geven dat zijn Majesteyt op de bestemmen uur My oorloft om te gaan ; doch onbewust , om 't vuur te blussen door een vuur , 't welk nimmer mogen verkoelen ."
77,"MEvrou , ay geven gehoor , veranderen uw gevoelen ."
78,"wat beek gy u toch in ? en schoon of my de plicht binden aan gehoorzaamheyt mijn vader , dat ik zwichten of duyk voor vader haat ? ô neen , door die de liefde My heel verwonnen hebben , die deze borst doorgrieven met zijn vergifte pijl ; doch aangenaam . ik zullen mijn Henrijk , nu noch noyt , om eenig ongeval verlaten ; die u raad , Celinde , mogen gy sparen , die met u lessen woorden zijn als een rook gevaar Uyt mijn gedacht . hoe ! gy weten de min zijn blinden , en maken ook zien blindt die gene die hem minden . uw raden die zijn vergeefs , uw tegenstrijt verdrietig ."
79,"mevrouw , met uw verlof , ik acht hem niet zoo nietig dat hy niet waard zullen zijn de liefde van een vrouw . maar tusschen u en hem zijn groot verscheel ; de rouw volgen zulk een huw'lijksfeest gemeenelijk . dat d'ooog Des minnaar zijn beroven van 't licht , het verstant vervliegen , dat stem ik toe , Princes ; maar laten de reden , die gelijk een lynceus zien , uw borst beheerschen ; wie zullen de hartnekkigheyt , als oorzaak al ramp , indien men reden bruyken , huysvest ? ach , wat damp benev'len u het breyn , dat gy zoo onbedacht een man , u niet gelijk , in u we kamer wachten ? Mevrou , bedenken u wel ."
80,"zeggen , Raatsvrou , om wat reden zullen ik mijn man verbiên in mijn vertrek te treden ?"
81,daar zijn noebt twijffel aan .
82,"wat twijffel zijn ' er , spreken ? beu ik zijn eigen niet !"
83,Gy missen de recht streek . gy lopen verlooren zoo gy het doen .
84,"Gy onbezonnen , Verlooren zijn ik niet , maar zeggen , ik zijn verwonnen ."
85,Princes .
86,"Ay , steur my niet . gaan heen , de nacht genaken , Doof al het licht . zien toe celinde dat gy waken tot dat Henriko komen . zien toe , op dat de koning ons beyde niet vespiê ; wat uitvlucht , wat verschooning zullen voor my arm zijn ? die nemen het wel in achten het geen ik u hebben gezeyt ."
87,"uw last zullen zijn volbrengen . mijn raden die zijn om niet . ô ramp ! waar heen celinde ? Gy raden een ander , ach , en kunnen geen middel vinden voor u ( ay my ! ) wat raden ? ach Dionysia ! laten af van uwe min , ze komen u niet te stâ ; u kanze schade doen ; my kanze voordeel geven ; Wy zijn van staan gelijk . hoe worden ik zoo drijven en van de min gesollen vast heen en weêr ? ô min ! hoe neemtg zoo te sluyk ons heete boezem in ? men mogen de liefd ' en wijn met recht wel evenaren ; wanneer dat ons de wijn komen in de herssens varen , dunken hy ons lieffelijk ; maar ach ! niet lang daar na tonen by ons zijn vergift ."
88,spraakt gy de Grave ?
89,Ia . Hy zullen hier daatlijk zijn .
