turn,text
90,"Klenardo , zeggen , zijn wezen hebben gy daar op letten ?"
91,het zijn bly en zonder vrezen .
92,"men brengen hem hier by my . gaan Fabio , bezien of het hier ook veylig zijn ."
93,Gints gaan celinde .
94,wie ?
95,"celinde , Heer ."
96,"roepen haar . zeggen , komen gy iets begeren en ?"
97,"o neen , mijn Heer ."
98,"willen straks dan na u kamer keeren . mijn dochter , waar zijn die ?"
99,"sedert zijn Majesteyt haar laatstmaal spreken , gaan zy in haar vertrek . wat zeyt Klenardo nu ?"
100,"mijn Heer , Henriko zijn komen ."
101,"gaan , haal ' em , en vertrek ."
102,"'k hebben nauwelijk vernemen de last uw Majesteyts , of ik ..."
103,"Gy doen zeer wel . marquys , volvoeren mijn last , en volliggen mijn bevel ."
104,hoe gaan de Vorst voor my zich zoo af keerig houwen ? zijn ik niet waardig veel zijn aangezicht t'aanschouwen ? wat zijn dit ? wat zijn ' er gaans ?
105,"heer Graaf , geven my gehoor ."
106,wat zijn uw last Marquys ! wat hebben gy met my voor ?
107,"vervloekt weerelts wet , zullen men zoo trouwheyt loonen !"
108,"wat voor belooning ? spreken , of zoeken men my te hoonen ? wat zijn uw last ? hoe nu waarom wieren ik gehaalt ? wat trouwheyt willen de Vorst , ontrouw , zeggen ?"
109,"Ay smalen , dat bidden ik , niet op my , ik moeten gehoorzaam wezen ."
110,wat hebben ik dan misdoen ? of waar voor zullen ik vrezen ?
111,ik zijn met eden verplichten te zwijgen deze zaak .
112,"hoe ! vinden zijn Majesteyt in mijn ramp vermaak ? wat zijn ' et , boeren of ernst !"
113,"My geven ' uw deeg , door zijn koning last , kunnen gy de gront zacht overwegen ."
114,"mijn deeg , Fabio !"
115,ik volgen mijn last .
116,"wel aan , ik Volbreng de Konings willen ; hy hebben zeer wel doen dar hy nu eyst , door u , het geen ik zoo menigwerf hebben in zijn dienst gebruyken , ja tot op 't punt van sterven . ik offer , met dit zwaan , met een mijn moedig hart . zien daar , Marquys , zien daar ."
117,"o duldeloos smart ! het en worden nimmer waar , dat nijt , door haar vermogen , Ont wapenden uw zy . ik zullen het noyt gedogen dat gy vangen en beroven zijn van geweer ; Noyt geven men my de schult dat ik zu lks deê ; mijn Heer daar zijn de mijn ' , ik bidden wiltz ' aan uw zijde hangen ; schoon ik uw lichaam boey , gy houden mijn ziel vangen ."
118,"gy wachten , de koning ook ; komen , gaan wy , het zijn tijden . d'onnozelheyt mijn ziel van zorg en angst bevrijden . 'k zullen u , ô Fabio , na d'oorzaak niet veel vragen . zijn het de Konings wil ? ik volgen zijn welbehagen . gaan voor ."
119,als het u believen .
120,"o moeyelijk nacht ! die mijn vreugde roven , helaas ! zoo onverwacht ."
121,dit wachten duren te lang .
122,"Bellardo , zijn dat gapen ?"
123,'k hebben vaak ; waar of hy blijven ? ik loven de Graaf moeten slapen .
124,"o neen , dat loof ik niet , hy zijn te zeer verblijt , en blijtschap voelen geen slaap ."
125,"al evenwel het zijn tijden , auroor die doen de nacht door haar komst verdwijnen , en schgyft van het blaauw gewelf de duystere gordijn ."
126,"gordijn ! dat zijn zoet , jou recht eezelskop . o mijn , ik lachme doden ."
127,waarom ?
128,"Ay , laten men krop haar vreugt eerst uyten , och ."
129,wel waarom lachen de kinkel ?
130,om datje d'hemel lijken by een barbier zen winkel . dit zijn d'oorzaak van men lach .
131,"lach daarom zoo scheet ? zijn het anders niet , jou zot ? ik zeggen het op zen poëets , en dat verstaje niet ; 'k hebben meê het sop zuigen Van Pegasus fonteyn ."
132,"Zoo benje meê bespogen van deze paardemieg . Wegh , eer me besmetten . ik wensch jou in Hippokreen , en my in 't zacht bedden ."
133,"in het bedden wensch ik my ook , de duyvel mgen zoo wachten . ik worden dit leven moê , dit duren vallen al nacht . onlukkig zijn wy , vriendt , door die het onluk hebben ons by d'onlukkigste te werellen , die ' er leven , gevoegen ; want zien dees zot , door zijn zotachtig min , menen dat narcisse en Adoon misschepsel zin , By hem te reekenen ; ja dees gepluymde kieft menen dat al 't vrouw geslacht terstont op hem verlieven . hoe kunnen die kleyne Guyt met zulk minnaar hand'len ; het zijn om te lachen als zy 's nacht of 's avond wandlen voor het veynster , deur of glas , alwaar de liesste wonen die hun ziel gebied , dar zich Ian Gadt vertonen , bemantelen om en om , en spelen een stom bevert , tot dat een oud Heks , al quijlen en beseveren , Ia zonder kies of tante , een volgeschuymde pot , en zonder , wach daar , van boven neêr die zot werpt over hals en hooft , en hy dan met verwond'ren staat zoo verbazen en kijken als of hy het horen dond'ren : dan met een broek vol wint voort na een dist'lateur ; of met een water , of poeyer , dees geur , die hem niet wel en ruykt , te goed te verzoeten . ik vrezen dat ons haan dit ook eens zullen ontmoeten , Hy staat ' er dapper na ."
134,"Bellardo , dat zijn waar . de min huyst in de beurs zoo lang die rond zijn ; maar wanneer het geld verden wijnen , de min zullen ook verdwijnen ."
135,"maar zacht Grimaldo , zacht , wie komen ons hier verschijnen ? gewis het zijn de Graaf . wat arge gast zijn dat ! ik Vertrou hy hebben altoos geen quade nacht hebben ."
136,zijn blijtschap hebben zijn reên ; komen treden wy hem nader .
137,"tree van my af , te zy ."
138,'t Wort met hem langs hoe quader . dar niemant zich verstout te weten wie ik ben. blijven staan .
139,mijn Heer . wat heer ! dat u de donder schen .
140,"hoe ! slaan hy zulk munt , tza rep dan mijn voet . wat mensch quam oyt 't geluk zoo heugelijk ontmoeten als my , die in de schijn van Henrijk , het genot mijn mins genieten hebben van die my haat . wat lot Verleent gy , ô Forruyn , d'hoogdravend gedacht , en niet de blood die uw mogentheyt verachten ? o nacht ! uw duysterheyt hebben my genoeg betonen hoe gy de list beminden , en haar met glory kroondt ; ik zullen een zilv're lamp , ô nacht , als tot een teeken van mijn verwinning , voor uw outaar doen ontsteeken . mijn ziel die zijn verheugen , nu dat ik hebben die geen Verwonnen , die op aard ' mijn wreetste vyant schijnen . Tweede bedryf ."
141,"het morgenroot hebben nau haar glinsterend straal , door het deyzen van de nacht , doen op het aardrijk dal , Of my worden deze brief behandigen uyt de naam Van Graaf Octavio , wie inhouden , na ik raam , My niet veel goets vermelen ; want als ik die doorlees , mijn onde ziel vervullen met achterdocht en vreze . marquys , doorzie die eens . darren bedryfen ."
142,"MYn Henrijk , och mijn lief ! hoe zeer zijn ik bekommeren om u afzijn zijn , en zijn alsins beslommeren met achterdocht en vrezen ; vermits een zwaar dromen mijn ziel hebben vervullen met angst , met schrik en schroom ; maar door uw wederkomst mijn ziel zich weêr verheugen . vier bedryf ."
143,ZOo zijn het . de schender hebben het oordeel zelfs geven .
144,onnozel rozaur ' ! verliezen gy zoo u leven ?
145,"d'onnoos'le kuysheyt sturf om uw lichtvaardigheyt , het zijn billijk dat gy uw en mijn fout beschreyt . komen , spiegel uw schult en misdaat in de mijn . haar leven zijn uw doden ; uw oneer doen ' my quijn , en jammerlijk vergaan ; doch staatzucht hiel de zijgen ' ."
146,onlukkig gravin .
147,"eer ik Henriko krijgen tot dees vervloeken daden , hebben ik hem voorgehouwen , dat hy van staan aan met u , mijn kindt , moeten trouwen . zijn sterven lust my wel ; maar het best zijn dat hy leven , op dat hy my mijn rust , u d'achtbaarheyt hergeven , die anders duyzentmaal op eenen dag zullen sterven , door uw schenden eer , en wy al t'zaam verderven . dit zijn nu de middel waar door alles worden herstelt . daar komen de bisschop aan ."
148,"Heer vader , och , hoe quelen gy dees bedroefd ziel ; zullen gy uw kindt doen trouw met een tyran , een schelm , een moorder van zijn vrouwe !"
149,"uw eer , Princes , die zullen hier door verbeteren zijn , en dees bedroefd Vorst ontlasten van angst en pijn ."
150,"Ay , zeggen me doch , wat eer kunnen een verrader geven die my mijn eer ontstal , en d'eerbaarheyt , het leven ? bloetdorstig Tyran ."
151,"hoe ! tergen gy mijn gedult ? Wy zijn de moorder zelfs , gy eerst door uw schult , en ik door ongeluk ."
152,och ongelukkig trouwen ! wanneer men het Huw'lijksfeest moeten op een dood bouwen .
153,"het schijnen dat u het licht de hemels al verdriet ; of dat gy groot vermaak in mijn elende zien . men mogen met reden u gelijken by een kranken , wie hart gedurig schijnen na vreemd spijs te janken ; maar walgen straks door 't gezicht , gy hebben voor dees uw min genooten met gevaar , en nu gy midden in uw vryheyt ook uw min met wellust mogen genieten , beginnen u , na my dunken , het min te verdrieten ; en walgen nu van die geen die als een waarde schat beheersten u gemoet , en uwe ziel bezitten ."
154,"'t verdriet my niet , ô neen ! my walgen alleen het trouwen , op dat ik niet en horen : moordresse , 'k hebben mijn vrouwe om uwent willen vermoren , ay , zeggen my doch , hoe zullen ik vrolijk zijn met hem , die staag zijn ongeval zullen klagen yder een , en met betraand ooog het wezen van Rozaur ' ons eeuwiglijk vertoogen ?"
155,"zijn billijk dat gy wenen en zuchten om zulk een vrouw ; maar gy , die oorzaak zijn van dees elende en rouw , moeten u om zinlijkheyt , noch keur'g min quel ; Gy trouwen alleen uyt noot , om uw eer t'herstellen ."
156,"ik twijffelen niet mevrouw , zoo haast als henrijk zullen genieten uwe min , of het voorig ongeval zullen ook vergeeten zijn ."
157,"mijn kind het , stellen u te vreden , maken u gereet , het zijn tijden met hem in d'echt te treden ."
158,"hoe nu ! wat zullen dit zijn ? wat jagen u hier verbazen ? Klenardo , wat zijn ' er gaans ?"
159,"het schijnen dat de hemel razen met ongedult en wraak , en spuwen zijn fel toor op dit gezegent Rijk ."
160,wat zijn ' er gaans ? laten hooren .
161,"Henriko hebben noch nau het eerenkleedt aan 't lijf , en dat hy doen zijn met zijn geweer , vallen stijf en roer'loos voor ons neêr ; zo dat wy t'saam verschrikken , en staan gelijk verbazen : hy rijst , en slaan zijn blik nu hier , dan daar ; hy roepen , hy razen , hy tieren en schreyt vast met een heesche stem , Rozaura , och ! verbeyden , waar vlucht gy ? wreek u eerst aan hem die u dorst moorden . het zijn wonder dat hy niet in dezedroef heyt smoorden . het waar heel noodig dat hem lijfwacht worden bestellen . daar komen hy aan ."
162,"staan vast , en keer hem met gewellen ."
163,"vertoeft gy vrou , vertoeven , vertoeven mijn schoon Rozaure ."
164,"bedaart mijn Heer , bedaren ."
165,"de slang van Epidaure tonen ons zijn gunst , blijven staan . waar looptge ? ik zullen u wond Genezen ; komen , mijn lief , reyk my uw lief mont , dat ik u kus voor 't laat . daar varen haar schaduw heen . och mijn Euridice , waar zijtge daar verdwijnen ? o moorderes ! ô doden ! hoe ! vluchtge van my af ? houden stant , en voer mijn ziel ook met u in het graf . of wiltge dat ik leven gedompelen in de plagen ? wat , vragen gy wie Rozaur ' mijn Engel hebben verslaan ? dees vuyst , gy schelm , dees vuyst ; wekken gy mijn gramschap op Rampzalige , wel aan ; verrader , wachten uw kop ."
166,nemen hem zijn deegen af .
167,"daar isze , ik willen niet moord , gelijk ik hebben doen door uw raat en woord ."
168,"het waar goed dat gy zweegt , en melden ' ons oneer niet ."
169,"het zijn goed dat gy vrezen voor het hemelsche gebieden , als voor de weerelts eer ; want by aldien de hemel uw doen niet goet en kennen , gewis al u gewemel Van schijndeugen komen u doch in 't weinig niet te baat ; het zijn maar ydelheyt daar gy u op verlaten ."
170,hoe ! zijn dit dolligheyt ? voorwaar het zijn wijze woord .
171,"ik Beken , dat ik rozaur ' zoo eerloos dorst vermoorden . maar niet dat ik oyt d'eer van dees Princes genieten ; en zoo ik liegen , ik wensch dat my de hemel doden van staan aan . helaas ! mijn min die zijn gesnevelt . het zijn waar , het zijn bestemmen , wanneer de lucht benevelen en overtrekken waar , dat ik dan aan haar zy Vernachten zullen : maar dat zijn my missen , want hy , ik menen die oud vos , laten my in d'yzers sluyten , terwijl een honighdief een horsel dorst vrybuyten in mijn vergaren zoet , het welk hy zoo verdorf dat my niet overschieten als slechts de leege korf ."
172,o woord ! die mijn hart en ziel gelijk ontstellen .
173,"ik bidt u , houden doch op , laat af van my te quellen , ik zeggen , indien ik oyt genieten mevrouw haar eer , dat my de hemel plaag , maar horen , mijn vriend , ik zweren dat een vermommen guyt haar kuysheyt hebben genooten ; vermits dat hy haat deur en venster zien ontsluiten ; en dat gelegentheyt zich tonen moeder naakt , zijn hy , door haar gunst , aan het genot geraken . indien ik schuldig waar ik hebben het uytgesprooken , daar komen Rozauraas geest weêr voor mijn ooog spooken . maar zacht , wijk achterwaarts , van hier , van hier , wel hoe ! waar vluchtge ? komen , en vlieg , binden my mijn ooog toe ."
174,"zeggen , om wat oorzaak , heer , zullen ik u oogen sluyten ?"
175,"willen gy dan d'oorzaak zien ? wel aan , treê met my buyten . zien gy Rozaur ' daar niet in weduwlijk gewaat , en dat aan yder zijd ' een van haar kind staan , als tuyg van 't gerecht , het welk die Vorst zullen spreeken ? daar komen hy op zijn troon , en heerlijk uytgestreeken . wie menen gy dat hier blinken gelijk de morgenzon ? het zijn de heyl'gen en oprechten Salomon . zien daar , daar zien gy het bloeden zijn eyg bloeden beklagen . om dat het wreed bloeden het onnoos'le hebben verslaan . daar zien gy hoe 't bedrog als een misdader staan , en wacht zijn vonnis , daar , daar zien gy ook hoe quaat D'onwetenheyt het ampt van voorspraak kunnen bestuuren . och , dit gezicht moeten ik nu met mij doden bezuren , om dat ik u door 't glas en spiegel hebben getoont , waar dat de waarde ziel van mijn Rozaura wonen . dies zeggen niet veel dat ik haar schellems hebben doorsteeken . zwijgen ook van deez ' haar eer , of ik zullen my zoo wreekem dat ik ... wie roepen my daar ? ô zaal'g ziel , zijn gy het ? ik komen u daat'lijk by , mijn Engel , hoe verblijt staat uw gezicht ; ay , zien haar lief aanschijn blozen ; daar werpen zy op my neêr een menigte van roos . laten af van het heyligdom , eer gy uw hand smet ."
176,nu zien gy dat uw waan en voorneem zijn beletten ; en vinden u overal in uw hoop bedriegen .
177,"de liefd ' , en ook mijn eer , die hebben my bewegen dat ik hantdadig zijn aan uw vervloeken schullen ."
178,"Rozaura , ach ! mijn lief ik bidd ' u hebben gedult , ik most u door bedwang van deze gryzaart dooën . ik vervloek gehoorzaambeyt , en die het my hebben bieden ."
179,"horen Henrijk , weten gy niet dat ik uw koning zijn ?"
180,"Gy zijn een slang zijn in listigheid , en uw dochter Eva , die my hebben een vrucht geven , waar door ik met Rozaur ' verliezen het vrolijk leven ; en mijn ontroeren geest en wanhoop , zijn die geen die ons door het vuur'g zwaard doen uyt de lusthof treên ."
181,"mijn ziel vinden zich benart , wat raat nu ?"
182,"och elende ! hoe overvallen gy ons ; ik zijn mijn raden te ende , ik weten niet hoe men zullen ."
183,"wel aan , ik weten noch raat , Henriko moeten van kant ."
184,"och al te wreed daat ! Heer vader , sparen hem doch , hoe zijtge dus verbolgen ?"
185,"ik willen dat het geschiet , en zulk moeten daat'lijk volgen ."
186,"Gy wreed , weten gy niet dat ik uw wreetheyt kennen ? hier staan ik , doden me vry ; want nu dat gy de Hen met haar kuyken hebben verslinden , ô gy wreed ! Zoo scharp uw klaauw vry , verscheur de Haan ook mede . ik zullen , dat zweren ik u , vroeg voor de dageraat Uytkrayen deze snood ' , en goddeloos daadt , ik sterven dan met Rozaur '; maar hoe , ik kunnen niet sterven , mijn wandelen ziel zullen nu en altoos zwerven ."
187,"mijn Heer , indien de Graaf iets nuttigen , ik vertrouwen dat zijn ontzinnigheyt wel licht bedaren zullen . het zijn nu de twee dag dat hy niet hebben eten ."
188,"gaan Fabio , bezien dat gy hem krijgen aan het eeten ."
189,"o neen , ik hebben genoeg van uw vervloeken fenijn ; My walgen uw spijse , wegh , 'k moeten by Rozaura zijn . ik zullen my nu voortaan van spijs en drank onthouwen , tot dat ik mijn Rozaur ' in vreugde zullen aanschouwen . o wreed ! heugen u wel het geen gy my geboodt ? ik hebben uw willen volbrengen ; nu zijn Rozaura doden . of zoeken Herodes veel onnozelen te dooden ? dood my , zoo dood gy het al , waar toe veel bloets van nood ?"
190,men brengen hem voort van hier .
191,"ik gaan gewillig , ja , ik acht uw gramschap niet , ik volgen Rozaura na ; want yder druppel bloeden , uyt haar borst gezegen , wijzen my de wegh tot haar . ô aangenaam weg , hoe zoet vallen gy dees ziel ; ik gaan , verrader , maar onthouden uw tong van zulk , en zeggen niet dat ik haar genooten hebben , ô neen : hoe , mijn gezicht aan 't dwalen ! daar komen Rozauraas geest om mijn ziel te halen . ik groet uw zaal'g ziel , en volgen u op het spoor . henr . bin ."
192,"Gy Heeren , op dat ik mijn schand ' en oneer smoor , Zoo willen ik dat men dit geen mensch zullen openbaren ; en wie dat ander doen , zullen ik voortaan verklaren voor vyanden eeuwiglijk . Altenio , wat nu ? wat jagen u herrewaarts ?"
193,"ik komen , ô Vorst , tot u met een bedroefd máár ; al het landen dat zijn in roeren ; vermits Rudolfus al zijn ruytery doen voeren in yl na deze stadt , en 't voetvolk leyen noch stil tien mijl maar van hier , en huyst na wensch en willen . Den Adel met hun volk , en lantluy , die bezetten vast overal de pas ; doch kunnen het niet beletten , te zy men hunwersterken . en ook zijn my gezeyt , dat hy Rozauraas beeld in zijn standaart zweyt . de jong Mauwerits , door wraaklust opgetoogen , voeren hy het leger om , voor al krijgsliêns oogen , met schrikkelijk geluyt van trommel en trompet . Hy hebben zijn zwaart op u en Henderijk gewet ; en hitst haar , nevens hem , zijn dochter dood te wreeken . ik zijn op 't spoedig terstont na 't Hof geweeken , op dat zijn Majesteyt zich datelijk verzie , het zijn hoog tijden ."
194,"ik zullen : maar zeggen , gy Heeren , wie zullen ik , als veltheer , nu de krijgsmacht toevertrouwen ?"
195,"mijn oordeels zoud ' ik het met Graaf Octavi houwen . nu dat uw Veltheer zijn van wit en zin beroven ; Hy zijn de naast , Heer ."
196,"wel aan , hy zullen als hooft het leger na behoren , uyt mijn naam , gebied . 'k willen dat terstont te post een van mijn edelman na Oxfort rijden , en zeggen als dat hy daat'lijk komen te hove hier by my . ik zullen terwijlen , om op alles goed wacht te neemen , my begeven By mijn Raadt , komen , volgen ."
197,"lang moeten de koning leven . houd op , ay , wenen niet veel , 'k hebben deernis met u rouw , droog uw traan af ; het zijn waar , ô schoone vrouw , dat ik twee jaar lang uw Henrijk niet mgen lijden , als makker in mijn min , het welk ik hem benijden . mijn haat , en ook mijn min zijn tevens uytgedooft . Hy zijn onschuldig ; mijn Rozaura , lief , geloven dat ik , in schijn van hem , mijn wellust hebben genooten Van Dionysia : nu zien gy hoe ontslooten en openhartig ik mijn boezem voor u toon ; en twijffelen gy noch veel ? ik zweren u by het schoon dat uw kaak cieren , dat ik mijn ziel , en leven , en alles wat u lusten , gewillig overgeven ."
198,"ik twijffelen geensin , heer , aan uw getrouwigheyt ; maar ik staan verbazen , en denken om 't geen gy hebben gezeyt . Foey Dionysia , hoe zijtg zoo lichtvaardig ? na het minnelijk genot zijn ik terstont heel vaardig na Oxfort weêr verreyst ; Henriko zitten noch vast , maar worden , door mijn brief , van staan aan ontlast . en dat het waarheyt zy al het geen gy my horen spreeken , beziet dees ring , mevrouw , als een waarachtig teeken van zijn onnozelheyt ; die krijgen ik van mevrouw . Zoo zijn het geschiet . het zijn waar , 'k hebben deernis met zijn rouw , maar haten hem wederom , om dat hy 't staal dorst trekken op u , die zelfs de doôn kunnen van de doden verwekken ; en zijn koning wreetheyt zijn niet minder straffens zijn . ik Beschuldig niet zijn eer , maar wel zijn wreden aren . maar nu dat ik mijn man , mijn Henderijk , moeten derven , Zoo gunnen me , wijl ik doch in ongeluk moeten zwerven , dat ik na Bristol keer , alwaar mijn laat troost , mijn oud vader zijn , met mijn bemind kroost . die in de doodts gevaar behouden hebben uw leven , willen gy die nu de doden , ondankb're , overgeven ? het zijn waar , ik brocht u te land , en bergen u met uw boot . ik hulp u , maar mijn hulp hebben my van hulp ontbloten . wat heymljjk vuur hebben gy in deze borst gesteeken , dat als een Etna brant ? wie vlam met kracht komen breeken door dees mijn ooog heen , en 't hart losts zuchten op zucht ; maar yder zucht verstikken , door het nev'len van uw lucht . Rozaura , mogen het zijn , zoo laten de zonnestraal van uw medogentheyt op dees verliefd dal . mijn Heer , wat wiltg doch ? zien gy niet dat ik zijn het afbeeldtsel van de ramp , en 't ongeval ? ey , schen Døch d'eer niet om de lust , en willen mijn eer verschoonen , te eeren uw geslacht , en 't mijn . ik zullen betoonen dat ik u wederom in all's wilvaardig zy , behoudens mijn eer . Rozaura , of gy my dit schoon voor ooog stellen , mijn liefde volgen geen reden . bedaren u , heer , en stellen het verlieven gemoet te vreden . bezadigen uw lusten , betoom uw geyle min , en teugel met verstant uw tomelooze zin : Ay , denken wie dat ik ben. treê met verstant wat nader . ik zijn Rozaura , heer , en Rudolf zijn mijn vader , Graaf Henderik mijn man . verlaten my ; want by hem hebben ik twee kind ; gy , die my uyt de klem Des doodts trekken hebben , met recht mogen ik u noemen mijn heylandt , op wie deugdt ik eeuwiglijk zullen roemen , en altoos dankbaar zijn . nu gy dit alles weten , zoo bidden ik , dat gy doch u zelfs zoo niet vergeten ; maar vrezen de hemel , Heer . neen , ik zullen niemanden vrezen , mijn hart zullen als een steen voor uw klacht wezen ; mijn oor voor u doof ; mijn min , gelijk een paal te grond ingeheyt , zullen het alderhartste staal verduren . het geen ik niet door smeek kunnen verwerven zullen ik nu met gewellen , ja op het punt van sterven genieten tegen danken ; het zijn recht dat gy genezen mijn wond ' , waar van gy eerst een oorzaak zijn zijn . helaas , bedrukken vrouw ! waar zullen ik arm heenen ? mijn weêrstant zijn vergeefs , hy luysteren na geen weenen , zijn oor zijn verstoppen ; ik getroosten my eer de doden eer hy mijn kuysheyt schent . wat raden nu om dees noot T'ontvlieden ? zacht , ik veyns , en zien of my de tijdt door het eerelijk bedrog van schendery bevrijt . mijn Heer , nu gy my hebben uw trouw liefd ' doen blijken , zullen ik in weêrliefd ' u in 't weinig niet bezwijken . ik hebben uw trouw bespeuren ; uw openhartigheyt hebben mijn geveynsde rouw en weyg'ring neêrgeleyen . ik zijn voor u , mijn Heer , en zullen my altoos dragen na uw begeerlijkheyt ; maar ik bidden u , wijl de vlaag van het onluk noch niet wel gestillen zijn en blussen , dat gy my eenen dagh vergunnen willen tot rust . mijn Engel , gaan mijn schoon ' , willen u tot rust begeven . mijn Heer , hoe zullen ik best by u verzekeren leven , op dat men my niet kennen ? Ay , stellen uw ziel gerust , mijn achtbaarheyt alleen dees misdaat wel versust . ik weten een goed vinden ik zullen als kamerling Gestadig by u zijn . mijn Schoone , deze ring , waar in beslooten zijn mijn sterven en mijn leven , die Dionysi my onwetend ' hebben geven , schenken ik u weêr , mevrouw , tot teek van mijn min . verzie my met een kleet , het zijn tijden dat ik begin , en maken my vaardig om mijn paad rol te speelen . ik stellen het voort in 't werk , om ons min te heelen . vervloekte , gaan vry heen ; ô bron van mijn elende ! waar zullen ik , arme mensch , my noch te laat wennen ? och , of dit goet geluk , het zy dan door de doden , of and're toeval , my verlossen uyt dees noot , Zoo waar mijn ziel gerust ; ik zullen hem tegenstreven , en zoo mijn eerbaarheyt verlossen met mijn leven . Vyfde bedryf ."
199,"al zijn het dat my door recht en billikheyt behoren dees Staf als oppervogen , zoo hebben ik rechtevoort ( schoon dat ervarentheyt 't vernuft zoo hebben gesleepen , dat als door mijn beleydt de vyant aangegreepen straks vlucht reddeloos , als ook om dat ik zijn gerechtig tot de wraak van mijn Rozaura , en die wreden henderik te straf na behoor , ) tot Veltheer in mijn plaats u Mauwerits verkooren . het passen u , jong spruyt , gy die de spiegel zijn waar in dat zich 't gezicht van mijn Rozaur ' altijt Weêr op een nieuw vertonen ; gaan wreek nu vry d'elende , uw moeder aandoen , en brengen dees wraak te ende . het zijn waar , dat Grieken noyt het machtig Ilion door kind , maar wel eer door mannekracht verwinnen ; noch most Achilles kracht voor Nestors wijsheyt buyg ; want wijsheyt gaan voor kracht , dat kunnen ons Room ' getuyg ; 't welk Hannibal door list weêr uyt Itaal'jen krijgen , en d'overwinner weêr verwinnen ; ja zijn zijgen ' doen ' eynd en met zijn doden ; doch deze lieden strijden Uyt afgunst , om 't gezag ; maar wy om recht en reden . ik zullen dees oorelog heel anders , als men plag , Uytvoeren , dat hier door de werelt weten mogen , hoe dat d'onnozelheyden , met recht te zaam gespannen , zijn wraaklust boete kunnen aan schelm en tyran . soldaat , deze zullen voortaan uw veltheer zijn : gehoorzamen hem in all's ; gelijk gy-lieden mijn gehoorzamen hebben voor dees . en nu rechtvaardigheden uw wapen zijn , wel aan , zoo stellen mijn ziel te vreden door uw dapperheyt : ik stellen u hier te toon mijn erfgenaam , uw Heer , en mijn rozauraas zoon . den wreden Rudolf blaken , en werpen het al te gront , het en zy dat men het verzie . GY zijn dan wie gy zijn , ik zeggen dat gy blijven staan ; zoo niet , dat gaan ' er deur . uw koning hebben zeer wel en wijslelijk doen , Aan my die snoô tyran en wreed beul te geven ."
